Time,CO2 (ppm)
89.6,2416.419983
89.7,2322.387695
89.8,2331.542969
89.9,2325.439453
90,2322.387695
90.1,2328.491211
90.2,2431.678772
90.3,2416.419983
90.4,2419.471741
90.5,2419.471741
90.6,2404.403687
90.7,2322.387695
90.8,2334.594727
90.9,2328.491211
91,2331.542969
91.1,2331.542969
91.2,2431.678772
91.3,2419.471741
91.4,2419.471741
91.5,2410.507202
91.6,2404.403687
91.7,2343.75
91.8,2328.491211
91.9,2337.646484
92,2328.491211
92.1,2337.646484
92.2,2437.782288
92.3,2413.55896
92.4,2419.471741
92.5,2416.419983
92.6,2425.575256
92.7,2331.542969
92.8,2334.594727
92.9,2331.542969
93,2346.801758
93.1,2334.594727
93.2,2440.834045
93.3,2425.575256
93.4,2425.575256
93.5,2425.575256
93.6,2422.523499
93.7,2337.646484
93.8,2340.698242
93.9,2349.853516
94,2352.714539
94.1,2352.714539
94.2,2440.834045
94.3,2419.471741
94.4,2428.627014
94.5,2434.73053
94.6,2428.627014
94.7,2352.714539
94.8,2349.853516
94.9,2340.698242
95,2343.75
95.1,2340.698242
95.2,2449.798584
95.3,2431.678772
95.4,2425.575256
95.5,2431.678772
95.6,2431.678772
95.7,2358.818054
95.8,2358.818054
95.9,2364.92157
96,2358.818054
96.1,2355.766296
96.2,2455.9021
96.3,2449.798584
96.4,2440.834045
96.5,2440.834045
96.6,2434.73053
96.7,2364.92157
96.8,2371.025085
96.9,2364.92157
97,2358.818054
97.1,2371.025085
97.2,2458.953857
97.3,2452.850342
97.4,2434.73053
97.5,2443.885803
97.6,2443.885803
97.7,2367.973328
97.8,2367.973328
97.9,2358.818054
98,2371.025085
98.1,2364.92157
98.2,2462.005615
98.3,2446.937561
98.4,2446.937561
98.5,2443.885803
98.6,2440.834045
98.7,2383.232117
98.8,2367.973328
98.9,2371.025085
99,2367.973328
99.1,2371.025085
99.2,2468.109131
99.3,2455.9021
99.4,2455.9021
99.5,2452.850342
99.6,2455.9021
99.7,2361.869812
99.8,2371.025085
99.9,2371.025085
100,2371.025085
100.1,2364.92157
100.2,2465.057373
100.3,2449.798584
100.4,2462.005615
100.5,2443.885803
100.6,2452.850342
100.7,2386.09314
100.8,2386.09314
100.9,2383.232117
101,2367.973328
101.1,2383.232117
101.2,2480.316162
101.3,2455.9021
101.4,2452.850342
101.5,2455.9021
101.6,2455.9021
101.7,2371.025085
101.8,2389.144897
101.9,2395.248413
102,2367.973328
102.1,2383.232117
102.2,2480.316162
102.3,2452.850342
102.4,2452.850342
102.5,2474.212646
102.6,2468.109131
102.7,2377.128601
102.8,2386.09314
102.9,2380.180359
103,2392.196655
103.1,2383.232117
103.2,2468.109131
103.3,2468.109131
103.4,2462.005615
103.5,2468.109131
103.6,2455.9021
103.7,2374.076843
103.8,2395.248413
103.9,2386.09314
104,2383.232117
104.1,2392.196655
104.2,2465.057373
104.3,2462.005615
104.4,2468.109131
104.5,2468.109131
104.6,2465.057373
104.7,2395.248413
104.8,2404.403687
104.9,2404.403687
105,2392.196655
105.1,2389.144897
105.2,2474.212646
105.3,2471.160889
105.4,2474.212646
105.5,2468.109131
105.6,2465.057373
105.7,2401.351929
105.8,2392.196655
105.9,2404.403687
106,2398.300171
106.1,2404.403687
106.2,2480.316162
106.3,2486.228943
106.4,2468.109131
106.5,2468.109131
106.6,2480.316162
106.7,2404.403687
106.8,2410.507202
106.9,2395.248413
107,2395.248413
107.1,2404.403687
107.2,2486.228943
107.3,2483.177185
107.4,2483.177185
107.5,2486.228943
107.6,2480.316162
107.7,2407.455444
107.8,2410.507202
107.9,2407.455444
108,2407.455444
108.1,2404.403687
108.2,2495.384216
108.3,2480.316162
108.4,2477.264404
108.5,2492.332458
108.6,2489.280701
108.7,2401.351929
108.8,2404.403687
108.9,2413.55896
109,2407.455444
109.1,2419.471741
109.2,2495.384216
109.3,2495.384216
109.4,2495.384216
109.5,2489.280701
109.6,2489.280701
109.7,2419.471741
109.8,2419.471741
109.9,2410.507202
110,2419.471741
110.1,2416.419983
110.2,2498.435974
110.3,2498.435974
110.4,2492.332458
110.5,2489.280701
110.6,2480.316162
110.7,2425.575256
110.8,2425.575256
110.9,2431.678772
111,2422.523499
111.1,2416.419983
111.2,2495.384216
111.3,2501.487732
111.4,2507.591248
111.5,2495.384216
111.6,2498.435974
111.7,2425.575256
111.8,2428.627014
111.9,2419.471741
112,2419.471741
112.1,2422.523499
112.2,2492.332458
112.3,2504.53949
112.4,2501.487732
112.5,2492.332458
112.6,2501.487732
112.7,2434.73053
112.8,2425.575256
112.9,2431.678772
113,2437.782288
113.1,2431.678772
113.2,2501.487732
113.3,2507.591248
113.4,2498.435974
113.5,2510.643005
113.6,2510.643005
113.7,2425.575256
113.8,2440.834045
113.9,2431.678772
114,2428.627014
114.1,2428.627014
114.2,2516.555786
114.3,2510.643005
114.4,2513.504028
114.5,2501.487732
114.6,2516.555786
114.7,2428.627014
114.8,2434.73053
114.9,2434.73053
115,2431.678772
115.1,2434.73053
115.2,2510.643005
115.3,2513.504028
115.4,2513.504028
115.5,2501.487732
115.6,2501.487732
115.7,2428.627014
115.8,2431.678772
115.9,2434.73053
116,2443.885803
116.1,2434.73053
116.2,2528.762817
116.3,2504.53949
116.4,2513.504028
116.5,2510.643005
116.6,2519.607544
116.7,2443.885803
116.8,2440.834045
116.9,2437.782288
117,2431.678772
117.1,2440.834045
117.2,2525.71106
117.3,2519.607544
117.4,2513.504028
117.5,2516.555786
117.6,2522.659302
117.7,2446.937561
117.8,2443.885803
117.9,2446.937561
118,2449.798584
118.1,2449.798584
118.2,2534.866333
118.3,2528.762817
118.4,2525.71106
118.5,2525.71106
118.6,2519.607544
118.7,2440.834045
118.8,2452.850342
118.9,2446.937561
119,2449.798584
119.1,2455.9021
119.2,2519.607544
119.3,2528.762817
119.4,2525.71106
119.5,2525.71106
119.6,2528.762817
119.7,2452.850342
119.8,2455.9021
119.9,2440.834045
120,2443.885803
120.1,2440.834045
120.2,2531.814575
120.3,2528.762817
120.4,2528.762817
120.5,2522.659302
120.6,2534.866333
120.7,2455.9021
120.8,2446.937561
120.9,2452.850342
121,2446.937561
121.1,2443.885803
121.2,2528.762817
121.3,2534.866333
121.4,2519.607544
121.5,2528.762817
121.6,2534.866333
121.7,2446.937561
121.8,2446.937561
121.9,2449.798584
122,2455.9021
122.1,2443.885803
122.2,2531.814575
122.3,2528.762817
122.4,2525.71106
122.5,2531.814575
122.6,2528.762817
122.7,2458.953857
122.8,2452.850342
122.9,2452.850342
123,2468.109131
123.1,2468.109131
123.2,2534.866333
123.3,2528.762817
123.4,2540.969849
123.5,2537.918091
123.6,2528.762817
123.7,2452.850342
123.8,2465.057373
123.9,2458.953857
124,2455.9021
124.1,2452.850342
124.2,2534.866333
124.3,2540.969849
124.4,2531.814575
124.5,2531.814575
124.6,2534.866333
124.7,2458.953857
124.8,2455.9021
124.9,2462.005615
125,2455.9021
125.1,2468.109131
125.2,2531.814575
125.3,2531.814575
125.4,2537.918091
125.5,2540.969849
125.6,2540.969849
125.7,2462.005615
125.8,2471.160889
125.9,2468.109131
126,2477.264404
126.1,2474.212646
126.2,2544.021606
126.3,2546.882629
126.4,2546.882629
126.5,2546.882629
126.6,2544.021606
126.7,2468.109131
126.8,2471.160889
126.9,2458.953857
127,2471.160889
127.1,2480.316162
127.2,2537.918091
127.3,2546.882629
127.4,2544.021606
127.5,2544.021606
127.6,2552.986145
127.7,2477.264404
127.8,2483.177185
127.9,2474.212646
128,2477.264404
128.1,2474.212646
128.2,2562.141418
128.3,2556.037903
128.4,2552.986145
128.5,2552.986145
128.6,2544.021606
128.7,2483.177185
128.8,2480.316162
128.9,2483.177185
129,2486.228943
129.1,2474.212646
129.2,2556.037903
129.3,2559.089661
129.4,2549.934387
129.5,2546.882629
129.6,2552.986145
129.7,2477.264404
129.8,2477.264404
129.9,2489.280701
130,2483.177185
130.1,2480.316162
130.2,2549.934387
130.3,2556.037903
130.4,2556.037903
130.5,2562.141418
130.6,2549.934387
130.7,2483.177185
130.8,2477.264404
130.9,2489.280701
131,2486.228943
131.1,2477.264404
131.2,2552.986145
131.3,2552.986145
131.4,2556.037903
131.5,2556.037903
131.6,2552.986145
131.7,2477.264404
131.8,2483.177185
131.9,2489.280701
132,2489.280701
132.1,2477.264404
132.2,2562.141418
132.3,2562.141418
132.4,2556.037903
132.5,2556.037903
132.6,2565.193176
132.7,2483.177185
132.8,2480.316162
132.9,2477.264404
133,2486.228943
133.1,2489.280701
133.2,2577.400208
133.3,2562.141418
133.4,2556.037903
133.5,2568.244934
133.6,2565.193176
133.7,2483.177185
133.8,2489.280701
133.9,2492.332458
134,2489.280701
134.1,2492.332458
134.2,2577.400208
134.3,2571.296692
134.4,2577.400208
134.5,2574.34845
134.6,2562.141418
134.7,2492.332458
134.8,2498.435974
134.9,2501.487732
135,2498.435974
135.1,2483.177185
135.2,2562.141418
135.3,2565.193176
135.4,2559.089661
135.5,2568.244934
135.6,2568.244934
135.7,2498.435974
135.8,2489.280701
135.9,2486.228943
136,2489.280701
136.1,2489.280701
136.2,2562.141418
136.3,2571.296692
136.4,2562.141418
136.5,2562.141418
136.6,2577.400208
136.7,2492.332458
136.8,2483.177185
136.9,2486.228943
137,2489.280701
137.1,2492.332458
137.2,2562.141418
137.3,2577.400208
137.4,2571.296692
137.5,2562.141418
137.6,2565.193176
137.7,2498.435974
137.8,2501.487732
137.9,2498.435974
138,2489.280701
138.1,2492.332458
138.2,2568.244934
138.3,2571.296692
138.4,2577.400208
138.5,2571.296692
138.6,2571.296692
138.7,2498.435974
138.8,2495.384216
138.9,2507.591248
139,2492.332458
139.1,2492.332458
139.2,2568.244934
139.3,2577.400208
139.4,2571.296692
139.5,2574.34845
139.6,2486.228943
139.7,2498.435974
139.8,2507.591248
139.9,2492.332458
140,2495.384216
140.1,2504.53949
140.2,2586.364746
140.3,2577.400208
140.4,2571.296692
140.5,2574.34845
140.6,2483.177185
140.7,2507.591248
140.8,2498.435974
140.9,2504.53949
141,2504.53949
141.1,2716.827393
141.2,2571.296692
141.3,2589.416504
141.4,2583.312988
141.5,2571.296692
141.6,2498.435974
141.7,2513.504028
141.8,2510.643005
141.9,2510.643005
142,2507.591248
142.1,2716.827393
142.2,2574.34845
